,precision,recall,f1-score,support
calicotome,0.3333333333333333,1.0,0.5,1.0
castanea,1.0,1.0,1.0,22.0
ceratonia,1.0,0.7,0.8235294117647058,10.0
ebenus,1.0,1.0,1.0,2.0
ferula,1.0,1.0,1.0,3.0
olea,0.95,1.0,0.9743589743589743,76.0
origanum,1.0,1.0,1.0,6.0
oxalis,1.0,1.0,1.0,1.0
pistacia,1.0,1.0,1.0,3.0
salvia,1.0,1.0,1.0,12.0
satureja,1.0,1.0,1.0,4.0
sinapis,1.0,0.9,0.9473684210526315,20.0
thymbra,1.0,1.0,1.0,4.0
urginea,1.0,1.0,1.0,11.0
vitis,1.0,0.9615384615384616,0.9803921568627451,26.0
accuracy,0.9701492537313433,0.9701492537313433,0.9701492537313433,0.9701492537313433
macro avg,0.9522222222222222,0.9707692307692307,0.9483765976026038,201.0
weighted avg,0.9777777777777777,0.9701492537313433,0.9712643814348911,201.0
