,precision,recall,f1-score,support
asphodelus,1.0,1.0,1.0,2.0
calicotome,0.9655172413793104,1.0,0.9824561403508771,28.0
erica,1.0,1.0,1.0,18.0
eucalyptus,0.9375,0.9375,0.9375,16.0
ferula,1.0,1.0,1.0,1.0
myrtus,1.0,1.0,1.0,77.0
olea,1.0,1.0,1.0,1.0
origanum,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
oxalis,1.0,1.0,1.0,13.0
pinus,1.0,1.0,1.0,3.0
salvia,1.0,1.0,1.0,10.0
satureja,1.0,0.3333333333333333,0.5,3.0
thymbra,0.8,1.0,0.8888888888888888,4.0
vitis,1.0,1.0,1.0,4.0
accuracy,0.978494623655914,0.978494623655914,0.978494623655914,0.978494623655914
macro avg,0.966882183908046,0.9360119047619049,0.9387270258980785,186.0
weighted avg,0.9797552836484983,0.978494623655914,0.9761522983084951,186.0
